customer_name,customer_key,custome_number,Age,Age_group,cx_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,AOV,AMS
Aaron Shan,9731,AW00020730,49,40 - 49,Regular,2013-06-03,146,1,69,3,3,146,69,0.472602739726027
Aaron Sharma,802,AW00011801,50,50 and Above,Regular,2013-12-31,140,2,87,3,3,140,43,0.621428571428571
Aaron Simmons,2892,AW00013891,53,50 and Above,Regular,2013-05-07,147,1,86,2,2,147,86,0.585034013605442
Aaron Wang,1164,AW00012163,56,50 and Above,VIP,2013-03-04,149,2,5944,4,4,165,2972,36.0242424242424
Aaron Washington,13650,AW00024649,67,50 and Above,Regular,2013-06-04,146,1,5,1,1,146,5,0.0342465753424658
Aaron Wright,1651,AW00012650,70,50 and Above,VIP,2013-06-25,146,4,10813,9,9,166,2703,65.1385542168675
Aaron Yang,14197,AW00025196,54,50 and Above,Regular,2013-11-06,141,1,55,2,2,141,55,0.390070921985816
Aaron Young,1051,AW00012050,47,40 - 49,VIP,2013-02-06,150,2,6024,6,6,165,3012,36.5090909090909
Aaron Zhang,11769,AW00022768,70,50 and Above,Regular,2013-04-19,148,1,600,4,4,148,600,4.05405405405405
Abby Arthur,3801,AW00014800,55,50 and Above,Regular,2013-10-29,142,2,4390,5,5,167,2195,26.2874251497006
Abby Chandra,9947,AW00020946,44,40 - 49,Regular,2013-09-14,143,1,59,2,2,143,59,0.412587412587413
Abby Fernandez,206,AW00011205,71,50 and Above,Regular,2013-10-08,142,2,37,2,2,145,18,0.255172413793103
Abby Garcia,15949,AW00026948,50,50 and Above,Regular,2013-06-09,146,1,1293,3,3,146,1293,8.85616438356164
Abby Gonzalez,11481,AW00022480,54,50 and Above,Regular,2013-07-05,145,1,617,5,5,145,617,4.2551724137931
Abby Kapoor,18055,AW00029054,75,50 and Above,Regular,2013-06-16,146,1,751,2,2,146,751,5.14383561643836
Abby Kov├ír,14606,AW00025605,68,50 and Above,Regular,2013-01-13,151,1,600,4,4,151,600,3.97350993377483
Abby Lopez,2445,AW00013444,58,50 and Above,Regular,2013-07-13,145,1,57,2,2,145,57,0.393103448275862
Abby Madan,8355,AW00019354,43,40 - 49,Regular,2013-11-30,141,1,37,3,3,141,37,0.26241134751773
Abby Martinez,18334,AW00029333,82,50 and Above,Regular,2013-03-08,149,1,55,2,2,149,55,0.369127516778524
Abby Mehta,11180,AW00022179,66,50 and Above,Regular,2013-06-15,146,1,22,1,1,146,22,0.150684931506849
Abby Patel,5030,AW00016029,73,50 and Above,Regular,2013-12-06,140,2,3807,3,3,152,1903,25.0460526315789
Abby Perez,5196,AW00016195,47,40 - 49,Regular,2013-05-22,147,1,93,3,3,147,93,0.63265306122449
Abby Raman,4123,AW00015122,43,40 - 49,VIP,2013-12-14,140,3,5193,6,6,154,1731,33.7207792207792
Abby Rana,3535,AW00014534,59,50 and Above,Regular,2013-11-04,141,1,37,3,3,141,37,0.26241134751773
Abby Sai,102,AW00011101,55,50 and Above,VIP,2013-06-29,146,3,8262,7,7,172,2754,48.0348837209302
Abby Sanchez,8967,AW00019966,42,40 - 49,VIP,2013-06-07,146,2,6021,2,2,167,3010,36.0538922155689
Abby Sandberg,1495,AW00012494,50,50 and Above,VIP,2013-10-22,142,2,5948,5,5,169,2974,35.1952662721894
Abby Subram,2257,AW00013256,62,50 and Above,VIP,2013-12-25,140,4,7494,13,12,152,1873,49.3026315789474
Abhijit Thakur,15508,AW00026507,65,50 and Above,Regular,2013-06-02,146,1,27,2,2,146,27,0.184931506849315
Abigail Alexander,13224,AW00024223,41,40 - 49,Regular,2013-04-06,148,1,32,2,2,148,32,0.216216216216216
Abigail Anderson,4250,AW00015249,40,40 - 49,Regular,2013-09-04,143,1,46,2,2,143,46,0.321678321678322
Abigail Bailey,16532,AW00027531,50,50 and Above,Regular,2012-12-12,152,1,2071,1,1,152,2071,13.625
Abigail Barnes,18216,AW00029215,50,50 and Above,Regular,2014-01-09,139,1,64,3,3,139,64,0.460431654676259
Abigail Barnes,4904,AW00015903,69,50 and Above,Regular,2013-06-05,146,2,1373,5,5,153,686,8.97385620915033
Abigail Bell,2915,AW00013914,55,50 and Above,Regular,2013-04-26,148,1,72,2,2,148,72,0.486486486486487
Abigail Bennett,17301,AW00028300,65,50 and Above,Regular,2013-04-11,148,1,2,1,1,148,2,0.0135135135135135
Abigail Brooks,812,AW00011811,47,40 - 49,VIP,2013-06-17,146,2,5898,2,2,166,2949,35.5301204819277
Abigail Bryant,11043,AW00022042,42,40 - 49,Regular,2013-03-18,149,1,540,1,1,149,540,3.6241610738255
Abigail Butler,6390,AW00017389,47,40 - 49,Regular,2013-06-05,146,1,1779,3,3,146,1779,12.1849315068493
Abigail Clark,1773,AW00012772,65,50 and Above,VIP,2013-08-20,144,2,5913,4,4,164,2956,36.0548780487805
Abigail Coleman,12869,AW00023868,49,40 - 49,Regular,2013-10-23,142,2,4829,5,5,165,2414,29.2666666666667
Abigail Coleman,10485,AW00021484,54,50 and Above,Regular,2013-10-09,142,1,1120,1,1,142,1120,7.88732394366197
Abigail Cook,12875,AW00023874,47,40 - 49,Regular,2013-10-30,142,1,540,1,1,142,540,3.80281690140845
Abigail Cooper,13330,AW00024329,57,50 and Above,Regular,2013-12-20,140,1,604,2,2,140,604,4.31428571428571
Abigail Cox,10276,AW00021275,40,40 - 49,Regular,2013-10-16,142,1,1151,4,4,142,1151,8.1056338028169
Abigail Diaz,11642,AW00022641,42,40 - 49,Regular,2013-09-18,143,1,589,4,4,143,589,4.11888111888112
Abigail Diaz,7377,AW00018376,58,50 and Above,Regular,2013-12-16,140,1,2370,4,4,140,2370,16.9285714285714
Abigail Flores,12673,AW00023672,81,50 and Above,Regular,2013-06-08,146,1,30,1,1,146,30,0.205479452054795
Abigail Foster,8824,AW00019823,54,50 and Above,Regular,2013-12-03,140,1,46,2,2,140,46,0.328571428571429
Abigail Foster,1106,AW00012105,71,50 and Above,VIP,2013-03-04,149,2,5993,3,3,165,2996,36.3212121212121
Abigail Garcia,3532,AW00014531,58,50 and Above,Regular,2013-03-28,149,2,191,7,7,150,95,1.27333333333333
Abigail Gonzales,17766,AW00028765,46,40 - 49,Regular,2011-05-11,171,1,3578,1,1,171,3578,20.9239766081871
Abigail Gonzales,9334,AW00020333,57,50 and Above,Regular,2013-11-15,141,1,70,1,1,141,70,0.49645390070922
Abigail Griffin,8257,AW00019256,59,50 and Above,Regular,2013-11-16,141,2,2519,3,3,161,1259,15.6459627329193
Abigail Harris,17834,AW00028833,50,50 and Above,Regular,2011-06-10,170,1,3578,1,1,170,3578,21.0470588235294
Abigail Henderson,9442,AW00020441,41,40 - 49,Regular,2013-08-25,144,1,40,2,2,144,40,0.277777777777778
Abigail Henderson,2514,AW00013513,78,50 and Above,VIP,2013-12-04,140,2,5918,4,4,175,2959,33.8171428571429
Abigail Howard,1170,AW00012169,53,50 and Above,VIP,2013-03-18,149,2,5948,5,5,166,2974,35.8313253012048
Abigail Hughes,13765,AW00024764,46,40 - 49,Regular,2013-08-14,144,1,2398,3,3,144,2398,16.6527777777778
Abigail Hughes,8123,AW00019122,48,40 - 49,Regular,2013-04-03,148,1,589,4,4,148,589,3.97972972972973
Abigail James,13498,AW00024497,42,40 - 49,Regular,2013-02-04,150,1,72,3,3,150,72,0.48
Abigail Jenkins,4474,AW00015473,51,50 and Above,Regular,2013-11-30,141,2,1552,2,2,159,776,9.76100628930818
Abigail Johnson,4937,AW00015936,86,50 and Above,Regular,2013-11-01,141,1,40,2,2,141,40,0.283687943262411
Abigail Jones,682,AW00011681,50,50 and Above,Regular,2013-11-25,141,2,138,5,5,149,69,0.926174496644295
Abigail Kelly,15610,AW00026609,47,40 - 49,Regular,2013-09-14,143,2,4509,3,3,158,2254,28.5379746835443
Abigail Lewis,13931,AW00024930,72,50 and Above,Regular,2013-02-12,150,1,65,3,3,150,65,0.433333333333333
Abigail Long,11348,AW00022347,58,50 and Above,Regular,2013-09-18,143,1,50,3,3,143,50,0.34965034965035
Abigail Long,11889,AW00022888,60,50 and Above,Regular,2013-04-26,148,1,540,1,1,148,540,3.64864864864865
Abigail Martin,7676,AW00018675,50,50 and Above,Regular,2013-04-14,148,1,129,3,3,148,129,0.871621621621622
Abigail Martinez,5652,AW00016651,76,50 and Above,Regular,2013-11-23,141,1,14,2,2,141,14,0.099290780141844
Abigail Miller,4739,AW00015738,78,50 and Above,Regular,2013-12-16,140,1,166,3,3,140,166,1.18571428571429
Abigail Morgan,13432,AW00024431,66,50 and Above,Regular,2013-05-12,147,2,4334,4,4,164,2167,26.4268292682927
Abigail Morris,17777,AW00028776,59,50 and Above,Regular,2013-07-15,145,1,2,1,1,145,2,0.0137931034482759
Abigail Murphy,16467,AW00027466,42,40 - 49,Regular,2013-06-09,146,1,67,3,3,146,67,0.458904109589041
Abigail Patterson,3479,AW00014478,60,50 and Above,Regular,2013-09-04,143,2,4795,6,6,146,2397,32.8424657534247
Abigail Patterson,9644,AW00020643,86,50 and Above,Regular,2013-08-28,144,1,15,2,2,144,15,0.104166666666667
Abigail Perry,14858,AW00025857,75,50 and Above,Regular,2011-01-19,175,1,3400,1,1,175,3400,19.4285714285714
Abigail Peterson,12449,AW00023448,63,50 and Above,Regular,2013-11-16,141,1,32,2,2,141,32,0.226950354609929
Abigail Powell,12795,AW00023794,65,50 and Above,Regular,2013-10-02,142,1,1250,2,2,142,1250,8.80281690140845
Abigail Price,90,AW00011089,63,50 and Above,Regular,2013-11-18,141,2,3188,7,7,152,1594,20.9736842105263
Abigail Ramirez,4860,AW00015859,61,50 and Above,Regular,2013-10-06,142,3,74,6,5,148,24,0.5
Abigail Reed,10479,AW00021478,71,50 and Above,Regular,2013-10-13,142,1,1155,2,2,142,1155,8.13380281690141
Abigail Richardson,3237,AW00014236,44,40 - 49,VIP,2013-10-26,142,3,5710,7,7,155,1903,36.8387096774194
Abigail Rivera,3718,AW00014717,49,40 - 49,Regular,2013-05-09,147,2,114,5,5,149,57,0.76510067114094
Abigail Robinson,7380,AW00018379,52,50 and Above,Regular,2013-10-25,142,1,2362,4,4,142,2362,16.6338028169014
Abigail Rodriguez,11302,AW00022301,51,50 and Above,Regular,2013-02-06,150,1,540,1,1,150,540,3.6
Abigail Rogers,7816,AW00018815,57,50 and Above,Regular,2013-09-20,143,1,70,1,1,143,70,0.48951048951049
Abigail Ross,9856,AW00020855,44,40 - 49,Regular,2013-08-04,144,1,1155,2,2,144,1155,8.02083333333333
Abigail Ross,16451,AW00027450,52,50 and Above,Regular,2013-10-12,142,2,4514,4,4,153,2257,29.5032679738562
Abigail Russell,10827,AW00021826,64,50 and Above,Regular,2013-11-14,141,1,13,2,2,141,13,0.0921985815602837
Abigail Sanchez,17193,AW00028192,55,50 and Above,Regular,2013-10-21,142,1,30,2,2,142,30,0.211267605633803
Abigail Sanders,10702,AW00021701,64,50 and Above,Regular,2013-06-08,146,1,78,4,4,146,78,0.534246575342466
Abigail Simmons,6618,AW00017617,56,50 and Above,Regular,2013-08-07,144,1,1755,2,2,144,1755,12.1875
Abigail Simmons,7114,AW00018113,69,50 and Above,Regular,2013-11-07,141,1,2392,3,3,141,2392,16.9645390070922
Abigail Smith,8406,AW00019405,54,50 and Above,Regular,2013-02-09,150,1,1170,2,2,150,1170,7.8
Abigail Stewart,6268,AW00017267,56,50 and Above,Regular,2013-11-09,141,1,2355,2,2,141,2355,16.7021276595745
Abigail Thompson,13333,AW00024332,57,50 and Above,Regular,2013-12-05,140,2,4816,5,5,165,2408,29.1878787878788
Abigail Torres,14368,AW00025367,60,50 and Above,Regular,2013-12-29,140,1,5,1,1,140,5,0.0357142857142857
Abigail Walker,5895,AW00016894,50,50 and Above,Regular,2013-03-07,149,1,1764,3,3,149,1764,11.8389261744966
Abigail Ward,3420,AW00014419,68,50 and Above,Regular,2013-07-16,145,2,3371,4,4,153,1685,22.0326797385621
Abigail Washington,12662,AW00023661,48,40 - 49,Regular,2013-09-11,143,2,3961,4,4,155,1980,25.5548387096774
Abigail White,4867,AW00015866,44,40 - 49,Regular,2013-11-19,141,3,146,8,8,149,48,0.979865771812081
Abigail Williams,5939,AW00016938,62,50 and Above,Regular,2013-12-24,140,2,3110,3,3,159,1555,19.559748427673
Abigail Wood,10387,AW00021386,39,30 - 39,Regular,2013-12-26,140,1,540,1,1,140,540,3.85714285714286
Adam Adams,2324,AW00013323,67,50 and Above,Regular,2013-12-13,140,1,142,2,2,140,142,1.01428571428571
Adam Allen,18136,AW00029135,55,50 and Above,Regular,2012-02-22,162,1,2182,1,1,162,2182,13.4691358024691
Adam Baker,1850,AW00012849,51,50 and Above,VIP,2013-12-22,140,2,5888,4,4,165,2944,35.6848484848485
Adam Bryant,13327,AW00024326,50,50 and Above,Regular,2013-12-17,140,1,556,4,4,140,556,3.97142857142857
Adam Butler,16926,AW00027925,63,50 and Above,Regular,2013-11-13,141,1,39,2,2,141,39,0.276595744680851
Adam Campbell,10401,AW00021400,41,40 - 49,Regular,2013-05-19,147,2,2689,5,5,155,1344,17.3483870967742
Adam Chen,11275,AW00022274,54,50 and Above,Regular,2013-01-21,151,1,575,2,2,151,575,3.80794701986755
Adam Collins,3251,AW00014250,77,50 and Above,Regular,2013-08-30,144,1,31,2,2,144,31,0.215277777777778
Adam Diaz,12983,AW00023982,66,50 and Above,Regular,2013-08-06,144,1,549,2,2,144,549,3.8125
Adam Edwards,13415,AW00024414,58,50 and Above,Regular,2013-01-20,151,1,2398,3,3,151,2398,15.8807947019868
Adam Evans,14821,AW00025820,41,40 - 49,Regular,2013-02-11,150,1,49,3,3,150,49,0.326666666666667
Adam Flores,45,AW00011044,71,50 and Above,VIP,2013-11-08,141,3,6515,7,7,174,2171,37.4425287356322
Adam Gonzales,9336,AW00020335,58,50 and Above,Regular,2013-09-23,143,1,70,1,1,143,70,0.48951048951049
Adam Gonzalez,3853,AW00014852,41,40 - 49,Regular,2013-09-12,143,2,1468,2,2,166,734,8.8433734939759
Adam Green,2070,AW00013069,45,40 - 49,Regular,2013-04-06,148,2,2732,3,3,163,1366,16.760736196319
Adam Griffin,7670,AW00018669,61,50 and Above,Regular,2013-08-08,144,1,70,1,1,144,70,0.486111111111111
Adam Hall,2682,AW00013681,46,40 - 49,Regular,2013-10-01,142,1,75,3,3,142,75,0.528169014084507
Adam Hayes,13029,AW00024028,44,40 - 49,Regular,2013-12-23,140,1,598,5,5,140,598,4.27142857142857
Adam Henderson,6041,AW00017040,56,50 and Above,Regular,2013-05-26,147,1,1760,3,3,147,1760,11.9727891156463
Adam Hernandez,1198,AW00012197,67,50 and Above,Regular,2013-05-07,147,2,48,3,3,150,24,0.32
Adam Hill,7741,AW00018740,61,50 and Above,VIP,2013-03-11,149,2,6056,3,3,169,3028,35.8343195266272
Adam Hughes,13547,AW00024546,55,50 and Above,Regular,2013-04-15,148,1,37,3,3,148,37,0.25
Adam Jai,14096,AW00025095,47,40 - 49,Regular,2012-02-01,162,1,2443,1,1,162,2443,15.0802469135802
Adam Jenkins,7634,AW00018633,43,40 - 49,Regular,2013-10-15,142,2,2794,6,6,153,1397,18.2614379084967
Adam King,5933,AW00016932,57,50 and Above,Regular,2013-09-02,143,2,14,4,3,146,7,0.0958904109589041
Adam Kumar,1949,AW00012948,50,50 and Above,Regular,2013-02-14,150,1,77,2,2,150,77,0.513333333333333
Adam Lal,2878,AW00013877,51,50 and Above,Regular,2013-02-27,150,2,3030,4,4,156,1515,19.4230769230769
Adam Li,5986,AW00016985,49,40 - 49,Regular,2013-08-25,144,1,14,2,2,144,14,0.0972222222222222
Adam Long,7869,AW00018868,68,50 and Above,Regular,2013-11-29,141,1,1760,3,3,141,1760,12.4822695035461
Adam Lopez,15350,AW00026349,49,40 - 49,Regular,2013-04-02,148,1,27,2,2,148,27,0.182432432432432
Adam Mitchell,2398,AW00013397,63,50 and Above,Regular,2013-11-12,141,1,2397,6,6,141,2397,17
Adam Nelson,16403,AW00027402,70,50 and Above,Regular,2013-10-21,142,1,129,3,3,142,129,0.908450704225352
Adam Parker,7229,AW00018228,60,50 and Above,Regular,2013-10-04,142,1,1710,2,2,142,1710,12.0422535211268
Adam Patterson,8697,AW00019696,58,50 and Above,Regular,2013-06-02,146,1,597,4,4,146,597,4.08904109589041
Adam Perez,7171,AW00018170,68,50 and Above,Regular,2013-03-08,149,1,40,2,2,149,40,0.268456375838926
Adam Perry,3651,AW00014650,59,50 and Above,Regular,2013-08-20,144,2,1538,3,3,170,769,9.04705882352941
Adam Phillips,11749,AW00022748,73,50 and Above,Regular,2013-12-27,140,2,4188,4,4,169,2094,24.7810650887574
Adam Powell,12424,AW00023423,47,40 - 49,Regular,2013-07-04,145,2,3937,3,3,156,1968,25.2371794871795
Adam Roberts,942,AW00011941,43,40 - 49,Regular,2013-11-02,141,2,109,5,5,144,54,0.756944444444444
Adam Ross,100,AW00011099,59,50 and Above,VIP,2013-07-01,145,3,8216,9,8,172,2738,47.7674418604651
Adam Russell,6428,AW00017427,52,50 and Above,Regular,2013-11-24,141,1,2372,3,3,141,2372,16.822695035461
Adam Scott,4864,AW00015863,46,40 - 49,Regular,2013-07-14,145,3,243,9,8,148,81,1.64189189189189
Adam Shan,17497,AW00028496,54,50 and Above,Regular,2013-08-10,144,1,70,1,1,144,70,0.486111111111111
Adam Sharma,4434,AW00015433,41,40 - 49,Regular,2013-12-01,140,2,1622,3,3,158,811,10.2658227848101
Adam Simmons,14328,AW00025327,45,40 - 49,Regular,2013-06-21,146,1,5,1,1,146,5,0.0342465753424658
Adam Turner,5110,AW00016109,55,50 and Above,Regular,2013-10-25,142,1,549,2,2,142,549,3.86619718309859
Adam Wang,10341,AW00021340,83,50 and Above,Regular,2013-05-09,147,1,23,3,3,147,23,0.156462585034014
Adam Washington,14438,AW00025437,54,50 and Above,Regular,2013-12-24,140,1,14,2,2,140,14,0.1
Adam Wright,6526,AW00017525,62,50 and Above,Regular,2013-08-18,144,1,5,1,1,144,5,0.0347222222222222
Adam Young,1985,AW00012984,62,50 and Above,Regular,2013-10-29,142,4,200,11,10,150,50,1.33333333333333
Adam Zhang,5805,AW00016804,69,50 and Above,Regular,2013-01-15,151,1,1728,3,3,151,1728,11.4437086092715
Adrian Bailey,10813,AW00021812,68,50 and Above,Regular,2013-11-13,141,1,1155,2,2,141,1155,8.19148936170213
Adrian Bell,875,AW00011874,47,40 - 49,Regular,2014-01-18,139,2,72,5,5,145,36,0.496551724137931
Adrian Brooks,12077,AW00023076,79,50 and Above,Regular,2013-12-25,140,1,30,1,1,140,30,0.214285714285714
Adrian Cook,16397,AW00027396,77,50 and Above,Regular,2013-08-15,144,1,89,3,3,144,89,0.618055555555556
Adrian Cooper,4006,AW00015005,41,40 - 49,Regular,2013-10-12,142,2,1503,3,3,164,751,9.16463414634146
Adrian Cox,9444,AW00020443,44,40 - 49,Regular,2013-10-04,142,1,39,3,3,142,39,0.274647887323944
Adrian Gray,5479,AW00016478,43,40 - 49,Regular,2013-10-12,142,1,2386,5,5,142,2386,16.8028169014085
Adrian Howard,1974,AW00012973,47,40 - 49,Regular,2013-12-24,140,2,84,4,4,142,42,0.591549295774648
Adrian James,14341,AW00025340,64,50 and Above,Regular,2013-11-18,141,1,5,1,1,141,5,0.0354609929078014
Adrian Morgan,3918,AW00014917,56,50 and Above,Regular,2013-07-08,145,1,64,3,3,145,64,0.441379310344828
Adrian Morris,4093,AW00015092,65,50 and Above,Regular,2013-04-18,148,1,37,2,2,148,37,0.25
Adrian Peterson,10237,AW00021236,45,40 - 49,Regular,2013-08-25,144,1,78,4,4,144,78,0.541666666666667
Adrian Ramirez,1153,AW00012152,50,50 and Above,VIP,2013-03-07,149,2,5937,5,5,166,2968,35.7650602409639
Adrian Richardson,2985,AW00013984,41,40 - 49,Regular,2013-03-09,149,2,3282,3,3,152,1641,21.5921052631579
Adrian Rivera,14340,AW00025339,60,50 and Above,Regular,2013-03-19,149,1,1224,2,2,149,1224,8.21476510067114
Adrian Sanchez,2180,AW00013179,78,50 and Above,Regular,2013-12-13,140,4,190,10,9,148,47,1.28378378378378
Adrian Sanders,8284,AW00019283,61,50 and Above,Regular,2013-11-22,141,2,2764,4,4,154,1382,17.9480519480519
Adrian Stewart,230,AW00011229,68,50 and Above,Regular,2014-01-25,139,2,81,5,5,145,40,0.558620689655172
Adrian Torres,8535,AW00019534,53,50 and Above,Regular,2013-02-07,150,1,1179,3,3,150,1179,7.86
Adrian Ward,12788,AW00023787,65,50 and Above,Regular,2013-03-25,149,1,72,3,3,149,72,0.483221476510067
Adrian Watson,2642,AW00013641,50,50 and Above,Regular,2013-06-07,146,2,144,6,6,149,72,0.966442953020134
Adriana Arthur,9872,AW00020871,46,40 - 49,Regular,2013-03-31,149,1,79,4,4,149,79,0.530201342281879
Adriana Chandra,3182,AW00014181,73,50 and Above,VIP,2013-06-28,146,3,8326,5,5,168,2775,49.5595238095238
Adriana Garcia,12501,AW00023500,84,50 and Above,Regular,2013-06-03,146,1,35,2,2,146,35,0.23972602739726
Adriana Gonzalez,1301,AW00012300,73,50 and Above,VIP,2013-10-17,142,5,13242,10,10,171,2648,77.4385964912281
Adriana Kapoor,11706,AW00022705,44,40 - 49,Regular,2013-02-11,150,1,39,2,2,150,39,0.26
Adriana Lopez,1003,AW00012002,56,50 and Above,VIP,2013-08-03,144,3,8145,6,6,165,2715,49.3636363636364
Adriana Madan,1276,AW00012275,44,40 - 49,Regular,2013-07-30,145,2,4435,5,5,157,2217,28.2484076433121
Adriana Malhotra,8146,AW00019145,55,50 and Above,Regular,2013-09-20,143,1,134,2,2,143,134,0.937062937062937
Adriana Martinez,4458,AW00015457,79,50 and Above,Regular,2013-09-17,143,2,2782,3,3,164,1391,16.9634146341463
Adriana Mehta,1859,AW00012858,58,50 and Above,Regular,2013-11-19,141,2,4393,3,2,152,2196,28.9013157894737
Adriana Patel,18442,AW00029441,83,50 and Above,Regular,2013-12-25,140,1,69,3,3,140,69,0.492857142857143
Adriana Perez,3763,AW00014762,61,50 and Above,Regular,2013-06-27,146,1,5,1,1,146,5,0.0342465753424658
Adriana Prasad,9051,AW00020050,48,40 - 49,Regular,2013-02-01,150,1,59,2,2,150,59,0.393333333333333
Adriana Raman,18437,AW00029436,59,50 and Above,Regular,2013-04-30,148,1,29,1,1,148,29,0.195945945945946
Adriana Rana,10676,AW00021675,49,40 - 49,Regular,2014-01-15,139,1,99,4,4,139,99,0.712230215827338
